user_id,night_plays
user_60,9
user_64,6
user_51,5
user_81,5
user_98,5
user_99,5
user_22,4
user_26,4
user_37,4
user_54,4
user_66,4
user_69,4
user_87,4
user_91,4
user_97,4
user_1,3
user_10,3
user_12,3
user_23,3
user_39,3
user_45,3
user_46,3
user_49,3
user_61,3
user_63,3
user_65,3
user_74,3
user_78,3
user_80,3
user_82,3
user_83,3
user_86,3
user_9,3
user_94,3
user_13,2
user_17,2
user_18,2
user_2,2
user_20,2
user_25,2
user_28,2
user_29,2
user_32,2
user_34,2
user_35,2
user_36,2
user_4,2
user_41,2
user_44,2
user_47,2
user_48,2
user_53,2
user_58,2
user_59,2
user_6,2
user_67,2
user_68,2
user_72,2
user_90,2
user_96,2
user_100,1
user_14,1
user_15,1
user_16,1
user_21,1
user_27,1
user_3,1
user_30,1
user_31,1
user_33,1
user_38,1
user_40,1
user_43,1
user_5,1
user_50,1
user_56,1
user_57,1
user_70,1
user_71,1
user_73,1
user_75,1
user_76,1
user_77,1
user_79,1
user_8,1
user_84,1
user_92,1
user_93,1
user_95,1
