song_id,title,artist,genre,mood
song_1,Title_song_1,Artist_12,Rock,Energetic
song_2,Title_song_2,Artist_8,Pop,Energetic
song_3,Title_song_3,Artist_14,Hip-Hop,Sad
song_4,Title_song_4,Artist_6,Pop,Happy
song_5,Title_song_5,Artist_6,Classical,Energetic
song_6,Title_song_6,Artist_2,Rock,Happy
song_7,Title_song_7,Artist_14,Pop,Chill
song_8,Title_song_8,Artist_11,Hip-Hop,Chill
song_9,Title_song_9,Artist_19,Classical,Happy
song_10,Title_song_10,Artist_16,Classical,Sad
song_11,Title_song_11,Artist_19,Pop,Chill
song_12,Title_song_12,Artist_16,Jazz,Energetic
song_13,Title_song_13,Artist_12,Classical,Sad
song_14,Title_song_14,Artist_14,Pop,Chill
song_15,Title_song_15,Artist_3,Pop,Happy
song_16,Title_song_16,Artist_11,Classical,Chill
song_17,Title_song_17,Artist_10,Rock,Chill
song_18,Title_song_18,Artist_20,Hip-Hop,Chill
song_19,Title_song_19,Artist_3,Rock,Chill
song_20,Title_song_20,Artist_11,Hip-Hop,Energetic
song_21,Title_song_21,Artist_17,Classical,Chill
song_22,Title_song_22,Artist_5,Hip-Hop,Chill
song_23,Title_song_23,Artist_6,Rock,Chill
song_24,Title_song_24,Artist_12,Classical,Sad
song_25,Title_song_25,Artist_5,Pop,Chill
song_26,Title_song_26,Artist_5,Jazz,Energetic
song_27,Title_song_27,Artist_18,Jazz,Sad
song_28,Title_song_28,Artist_17,Classical,Energetic
song_29,Title_song_29,Artist_19,Hip-Hop,Happy
song_30,Title_song_30,Artist_4,Jazz,Sad
song_31,Title_song_31,Artist_11,Hip-Hop,Chill
song_32,Title_song_32,Artist_6,Classical,Energetic
song_33,Title_song_33,Artist_5,Hip-Hop,Chill
song_34,Title_song_34,Artist_6,Classical,Happy
song_35,Title_song_35,Artist_17,Jazz,Chill
song_36,Title_song_36,Artist_20,Rock,Sad
song_37,Title_song_37,Artist_8,Classical,Sad
song_38,Title_song_38,Artist_2,Classical,Happy
song_39,Title_song_39,Artist_18,Jazz,Sad
song_40,Title_song_40,Artist_16,Pop,Happy
song_41,Title_song_41,Artist_10,Classical,Happy
song_42,Title_song_42,Artist_11,Classical,Happy
song_43,Title_song_43,Artist_18,Rock,Chill
song_44,Title_song_44,Artist_14,Classical,Happy
song_45,Title_song_45,Artist_13,Jazz,Energetic
song_46,Title_song_46,Artist_10,Classical,Sad
song_47,Title_song_47,Artist_3,Pop,Chill
song_48,Title_song_48,Artist_8,Jazz,Happy
song_49,Title_song_49,Artist_20,Hip-Hop,Chill
song_50,Title_song_50,Artist_5,Hip-Hop,Happy
